step number	 direction	total
1		+1		1
2		+1		2
3		-1		1
4		-1		0
5		-1		-1
6		+1		0
7		-1		-1
8		+1		0
9		-1		-1
10		-1		-2
11		-1		-3
12		-1		-4
13		+1		-3
14		+1		-2
15		+1		-1
16		-1		-2
17		-1		-3
18		-1		-4
19		+1		-3
20		+1		-2
21		-1		-3
22		-1		-4
23		-1		-5
24		+1		-4
25		+1		-3
26		+1		-2
27		-1		-3
28		-1		-4
29		+1		-3
30		-1		-4
31		+1		-3
32		+1		-2
33		+1		-1
34		+1		0
35		-1		-1
36		-1		-2
37		-1		-3
38		+1		-2
39		+1		-1
40		-1		-2
41		+1		-1
42		+1		0
43		-1		-1
44		+1		0
45		+1		1
46		-1		0
47		-1		-1
48		-1		-2
49		-1		-3
50		-1		-4
51		-1		-5
52		+1		-4
53		-1		-5
54		+1		-4
55		+1		-3
56		-1		-4
57		-1		-5
58		+1		-4
59		-1		-5
60		-1		-6
61		+1		-5
62		+1		-4
63		+1		-3
64		+1		-2
65		-1		-3
66		-1		-4
67		-1		-5
68		+1		-4
69		-1		-5
70		-1		-6
71		+1		-5
72		-1		-6
73		-1		-7
74		-1		-8
75		+1		-7
76		-1		-8
77		-1		-9
78		-1		-10
79		-1		-11
80		-1		-12
81		-1		-13
82		+1		-12
83		-1		-13
84		+1		-12
85		-1		-13
86		+1		-12
87		-1		-13
88		-1		-14
89		+1		-13
90		-1		-14
91		-1		-15
92		-1		-16
93		+1		-15
94		+1		-14
95		+1		-13
96		-1		-14
97		+1		-13
98		-1		-14
99		-1		-15
100		+1		-14
