step number	 direction	total
1		-1		-1
2		-1		-2
3		+1		-1
4		+1		0
5		-1		-1
6		-1		-2
7		+1		-1
8		-1		-2
9		-1		-3
10		-1		-4
11		-1		-5
12		-1		-6
13		-1		-7
14		+1		-6
15		+1		-5
16		+1		-4
17		-1		-5
18		+1		-4
19		+1		-3
20		-1		-4
21		+1		-3
22		+1		-2
23		-1		-3
24		+1		-2
25		+1		-1
26		+1		0
27		+1		1
28		+1		2
29		-1		1
30		-1		0
31		+1		1
32		-1		0
33		-1		-1
34		+1		0
35		-1		-1
36		-1		-2
37		+1		-1
38		+1		0
39		-1		-1
40		+1		0
41		+1		1
42		-1		0
43		+1		1
44		+1		2
45		-1		1
46		+1		2
47		+1		3
48		-1		2
49		+1		3
50		-1		2
51		-1		1
52		-1		0
53		-1		-1
54		-1		-2
55		+1		-1
56		+1		0
57		+1		1
58		+1		2
59		+1		3
60		-1		2
61		+1		3
62		-1		2
63		-1		1
64		+1		2
65		-1		1
66		+1		2
67		+1		3
68		+1		4
69		-1		3
70		-1		2
71		-1		1
72		+1		2
73		-1		1
74		-1		0
75		-1		-1
76		-1		-2
77		-1		-3
78		-1		-4
79		-1		-5
80		-1		-6
81		+1		-5
82		+1		-4
83		-1		-5
84		+1		-4
85		+1		-3
86		-1		-4
87		-1		-5
88		+1		-4
89		-1		-5
90		-1		-6
91		-1		-7
92		-1		-8
93		+1		-7
94		-1		-8
95		+1		-7
96		-1		-8
97		+1		-7
98		+1		-6
99		+1		-5
100		-1		-6
