step number	 direction	total
1		+1		1
2		+1		2
3		+1		3
4		-1		2
5		+1		3
6		-1		2
7		+1		3
8		+1		4
9		-1		3
10		+1		4
11		+1		5
12		+1		6
13		+1		7
14		-1		6
15		+1		7
16		+1		8
17		+1		9
18		-1		8
19		+1		9
20		+1		10
21		-1		9
22		+1		10
23		-1		9
24		+1		10
25		+1		11
26		-1		10
27		-1		9
28		-1		8
29		+1		9
30		-1		8
31		-1		7
32		-1		6
33		-1		5
34		+1		6
35		-1		5
36		-1		4
37		-1		3
38		+1		4
39		+1		5
40		+1		6
41		-1		5
42		-1		4
43		+1		5
44		-1		4
45		+1		5
46		-1		4
47		-1		3
48		+1		4
49		-1		3
50		+1		4
51		-1		3
52		-1		2
53		+1		3
54		-1		2
55		+1		3
56		-1		2
57		-1		1
58		-1		0
59		-1		-1
60		+1		0
61		-1		-1
62		-1		-2
63		+1		-1
64		-1		-2
65		-1		-3
66		-1		-4
67		+1		-3
68		+1		-2
69		-1		-3
70		+1		-2
71		+1		-1
72		-1		-2
73		+1		-1
74		+1		0
75		-1		-1
76		+1		0
77		+1		1
78		+1		2
79		-1		1
80		+1		2
81		+1		3
82		-1		2
83		+1		3
84		-1		2
85		-1		1
86		-1		0
87		+1		1
88		+1		2
89		+1		3
90		-1		2
91		+1		3
92		+1		4
93		+1		5
94		+1		6
95		-1		5
96		+1		6
97		-1		5
98		-1		4
99		+1		5
100		-1		4
